title,description,category
Pothole on Main Street,"Large pothole near the intersection causing damage to vehicles. Needs urgent repair.",Road Issues
Broken pavement in park,"The pavement in the central park has cracked and is dangerous for pedestrians.",Road Issues
Road flooding after rain,"Water accumulates on the road after every rain. Drainage seems blocked.",Road Issues
Uneven road surface,"The road surface is very uneven. Many bumps and cracks.",Road Issues
Missing road markings,"Street markings are faded. Difficult to see lanes at night.",Road Issues
Garbage not collected for a week,"Our area garbage has not been picked up for 7 days. Bins are overflowing.",Garbage Management
Illegal dumping near school,"Someone is dumping waste near the school building. Smell and health hazard.",Garbage Management
Overflowing bins on corner,"Public bins at the corner are always full. Need more frequent collection.",Garbage Management
Stray animals near trash,"Stray dogs and cats gather around uncovered garbage. Need better disposal.",Garbage Management
Recycling not picked up,"Recycling bins have not been collected for two weeks.",Garbage Management
No water supply since morning,"There is no water in our area since 6 AM. No prior notice given.",Water Supply
Low water pressure,"Water pressure is very low on the third floor. Cannot use shower properly.",Water Supply
Dirty water from tap,"Brown water is coming from the tap. Possibly pipe or reservoir issue.",Water Supply
Water leakage on street,"Water is leaking from a main line on the street. Wasting a lot of water.",Water Supply
Intermittent supply,"Water supply is irregular. Sometimes no water for hours.",Water Supply
Street light not working,"The lamp post near the bus stop has been off for days. Dark at night.",Street Lighting
Multiple lights out on avenue,"Several street lights are not working on the main avenue. Safety concern.",Street Lighting
Flickering light,"One street light keeps flickering. Needs repair or replacement.",Street Lighting
No lights in alley,"The alley behind the market has no lighting. Very unsafe at night.",Street Lighting
Broken lamp post,"A lamp post is bent and the light is broken. Should be replaced.",Street Lighting
Blocked drain causing smell,"The drain near the market is blocked. Bad smell and mosquitoes.",Drainage Issues
Sewage overflow on road,"Sewage is overflowing onto the road. Health hazard for residents.",Drainage Issues
Drainage clogged after rain,"After rain the drainage does not clear. Water stays for days.",Drainage Issues
Open drain near school,"Open drain near school gate. Children at risk. Needs cover.",Drainage Issues
Drain water mixing with drinking line,"Sewage drain water seems to be mixing. Water quality issue.",Drainage Issues
Another huge pothole,"New pothole appeared after last week rain. Very deep.",Road Issues
Road repair incomplete,"Road repair was started but left incomplete. Loose gravel everywhere.",Road Issues
Garbage truck skipped our lane,"Garbage truck did not come to our lane today. Bins still full.",Garbage Management
Burning of garbage,"People are burning garbage in the open. Causing smoke and pollution.",Garbage Management
No water in apartment block,"Entire apartment block has no water. Tank might be empty or pump issue.",Water Supply
Rusty water,"Water from tap has rust color. Old pipes may need replacement.",Water Supply
Dark stretch on highway,"Long stretch with no street lights. Accidents reported.",Street Lighting
Light pole damaged,"Street light pole is damaged in storm. Hanging wires.",Street Lighting
Drain cover missing,"Manhole cover is missing. Someone could fall in.",Drainage Issues
Flooding in basement,"Basement floods every time it rains. Drainage not connected properly.",Drainage Issues
